taxon,type,namesake,fictional_universe,character_type,media_type,notes_wiki,kingdom,phylum,class,order,family,genus,species_gbif,scientificName,canonicalName,rank,status,extinct,author_gbif,final_year
Predatoroonops maceliot,Goblin spider,Mac,Predator,,Films,"""refers to the character Mac Eliot, played byBill Duke""",Animalia,Arthropoda,Arachnida,Araneae,Oonopidae,Predatoroonops,Predatoroonops maceliot,"Predatoroonops maceliot Brescovit, Rheims & Ott, 2012",Predatoroonops maceliot,SPECIES,ACCEPTED,False,"Brescovit, Rheims & Ott",2012.0
Predatoroonops olddemon,Goblin spider,Predator (fictional species),Predator,,Films,"""a popular name used by natives of the fictional nation of Val Verde for the Predators""",Animalia,Arthropoda,Arachnida,Araneae,Oonopidae,Predatoroonops,Predatoroonops olddemon,"Predatoroonops olddemon Brescovit, Rheims & Santos, 2012",Predatoroonops olddemon,SPECIES,ACCEPTED,False,"Brescovit, Rheims & Santos",2012.0
Predatoroonops phillips,Goblin spider,General Phillips,Predator,,Films,"""refers to the character General Homer Phillips, played byRobert G. Armstrong""",Animalia,Arthropoda,Arachnida,Araneae,Oonopidae,Predatoroonops,Predatoroonops phillips,"Predatoroonops phillips Brescovit, Rheims & Santos, 2012",Predatoroonops phillips,SPECIES,ACCEPTED,False,"Brescovit, Rheims & Santos",2012.0
Predatoroonops poncho,Goblin spider,Poncho,Predator,,Films,"""for Jorge ""Poncho"" Ramirez, played byRichard Chaves""",Animalia,Arthropoda,Arachnida,Araneae,Oonopidae,Predatoroonops,Predatoroonops poncho,"Predatoroonops poncho Brescovit, Rheims & Ott, 2012",Predatoroonops poncho,SPECIES,ACCEPTED,False,"Brescovit, Rheims & Ott",2012.0
Predatoroonops rickhawkins,Goblin spider,Hawkins,Predator,,Films,"""refers to the character Rick Hawkins, played byShane Black""",Animalia,Arthropoda,Arachnida,Araneae,Oonopidae,Predatoroonops,Predatoroonops rickhawkins,"Predatoroonops rickhawkins Brescovit, Rheims & Bonaldo, 2012",Predatoroonops rickhawkins,SPECIES,ACCEPTED,False,"Brescovit, Rheims & Bonaldo",2012.0
Predatoroonops vallarta,Goblin spider,Puerto Vallarta,Predator,,Films,"""refers to Puerto Vallarta, Mexico, one of the filming locations for the moviePredator; the set there is now a tourist attraction."" (the species itself is not native to Mexico butRio de Janeiro state, Brazil)",Animalia,Arthropoda,Arachnida,Araneae,Oonopidae,Predatoroonops,Predatoroonops vallarta,"Predatoroonops vallarta Brescovit, Rheims & Bonaldo, 2012",Predatoroonops vallarta,SPECIES,ACCEPTED,False,"Brescovit, Rheims & Bonaldo",2012.0
Predatoroonops valverde,Goblin spider,Val Verde (fictional country),Predator,,Films,"""The specific name refers to the South/Central American country Val Verde, a fictional country created forPredator[sic] by Hollywood filmmakers, to avoid getting into legal or diplomatic disputes."" (In actuality, Val Verde was created for a previous Schwarzenegger film,Commando, and its status as the location of the events ofPredatoris a fan theory, supported byCommandoscreenwriterSteven E. de Souza; other media of thePredatorfranchiseplace the action of the original inGuatemalaorColombia.)",Animalia,Arthropoda,Arachnida,Araneae,Oonopidae,Predatoroonops,Predatoroonops valverde,"Predatoroonops valverde Brescovit, Rheims & Ott, 2012",Predatoroonops valverde,SPECIES,ACCEPTED,False,"Brescovit, Rheims & Ott",2012.0
Predatoroonops yautja,Goblin spider,Predator (fictional species),Predator,,Films,"""refers to the fictional name by which Predators are known on their planet.""",Animalia,Arthropoda,Arachnida,Araneae,Oonopidae,Predatoroonops,Predatoroonops yautja,"Predatoroonops yautja Brescovit, Rheims & Santos, 2012",Predatoroonops yautja,SPECIES,ACCEPTED,False,"Brescovit, Rheims & Santos",2012.0
Agra lilu,Ground beetle,Leeloo,The Fifth Element,,Films,"Named after Leeloo for being ""red-headed""",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agra,Agra lilu,"Agra lilu Erwin, 2000",Agra lilu,SPECIES,ACCEPTED,False,Erwin,2000.0
Hirudicryptus quintumelementum,Millipede,The Fifth Element,The Fifth Element,,Films,"""The species is named as the fifth member of the millipede orderSiphonocryptida; but also in honour of the alien custodians (calledmondoshawans) [...] whom the head and the collum of the new species (and actually all members of the order) resemble superficially""",Animalia,Arthropoda,Diplopoda,Siphonocryptida,Siphonocryptidae,Hirudicryptus,Hirudicryptus quintumelementum,"Hirudicryptus quintumelementum Korsòs, Geoffroy & Mauriès, 2009",Hirudicryptus quintumelementum,SPECIES,ACCEPTED,False,"Korsòs, Geoffroy & Mauriès",2009.0
Coptoborus leeloo,Bark beetle,Leeloo,The Fifth Element,,Films,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Coptoborus,Coptoborus leeloo,"Coptoborus leeloo Smith & Cognato, 2021",Coptoborus leeloo,SPECIES,ACCEPTED,False,Smith & Cognato,2021.0
Anelosimus biglebowski,Spider,The Big Lebowski,The Big Lebowski,,Films,,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Anelosimus,Anelosimus biglebowski,"Anelosimus biglebowski Agnarsson, 2006",Anelosimus biglebowski,SPECIES,ACCEPTED,False,Agnarsson,2006.0
Anelosimus dude,Spider,"Jeffrey ""The Dude"" Lebowski,The Big Lebowski",The Big Lebowski,,Films,,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Anelosimus,Anelosimus dude,"Anelosimus dude Agnarsson, 2006",Anelosimus dude,SPECIES,ACCEPTED,False,Agnarsson,2006.0
Oecobius kowalskii,Spider,Kowalski,Madagascar,,Films,"Four species ofdisc web spidersendemic toMadagascar, described concurrently and named after the four penguins of theMadagascarfranchise.",Animalia,Arthropoda,Arachnida,Araneae,Oecobiidae,Oecobius,Oecobius kowalskii,"Oecobius kowalskii Magalhães & Santos, 2018",Oecobius kowalskii,SPECIES,ACCEPTED,False,Magalhães & Santos,2018.0
Paroecobius skipper,Spider,Skipper,Madagascar,,Films,,Animalia,Arthropoda,Arachnida,Araneae,Oecobiidae,Paroecobius,Paroecobius skipper,"Paroecobius skipper Magalhães & Santos, 2018",Paroecobius skipper,SPECIES,ACCEPTED,False,Magalhães & Santos,2018.0
Paroecobius rico,Spider,Rico,Madagascar,,Films,,Animalia,Arthropoda,Arachnida,Araneae,Oecobiidae,Paroecobius,Paroecobius rico,"Paroecobius rico Magalhães & Santos, 2018",Paroecobius rico,SPECIES,ACCEPTED,False,Magalhães & Santos,2018.0
Paroecobius private,Spider,Private,Madagascar,,Films,,Animalia,Arthropoda,Arachnida,Araneae,Oecobiidae,Paroecobius,Paroecobius private,"Paroecobius private Magalhães & Santos, 2018",Paroecobius private,SPECIES,ACCEPTED,False,Magalhães & Santos,2018.0
Ikrandraco avatar,Pterosaur,Ikran,Avatar,,Films,"""Ikran, from the fictional flying creature portrayed in the movie Avatar that shows a well developed dentary crest anddraco, from the Latin meaning dragon.""",Animalia,Chordata,,,,Ikrandraco,Ikrandraco avatar,"Ikrandraco avatar Wang, Rodrigues, Jiang, Cheng & Kellner, 2014",Ikrandraco avatar,SPECIES,ACCEPTED,True,"Wang, Rodrigues, Jiang, Cheng & Kellner",2014.0
Arctesthes avatar,Moth,Avatar,Avatar,,Films,"""The name refers to the James Cameron movie Avatar; like the indigenous people and fauna of that film, the moth is vulnerable to habitat change or destruction in its very limited area of occurrence.""",Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Arctesthes,Arctesthes avatar,"Arctesthes avatar Patrick, Patrick & Hoare, 2019",Arctesthes avatar,SPECIES,ACCEPTED,False,"Patrick, Patrick & Hoare",2019.0
Oligomonoctenus neytiriae,Sawfly,Neytiri,Avatar,,Films,"""Named after Neytiri, princess of the Na'vi people from Pandora planet in the Avatar animation movie (James Cameron, 2009 and 2022), a blue and bioluminescent skin people who defend nature and life in all its forms.""",Animalia,Arthropoda,Insecta,Hymenoptera,Diprionidae,Oligomonoctenus,Oligomonoctenus neytiriae,"Oligomonoctenus neytiriae Nel, Wei, Niu, Garrouste & Jouault, 2023",Oligomonoctenus neytiriae,SPECIES,ACCEPTED,True,"Nel, Wei, Niu, Garrouste & Jouault",2023.0
Eubetia boop,Moth,Betty Boop,Betty Boop,,Films,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eubetia,Eubetia boop,"Eubetia boop Brown, 1999",Eubetia boop,SPECIES,ACCEPTED,False,Brown,1999.0
Sinemys gamera,Turtle,Gamera,Gamera,,Films,The fossil has wing-like projections from its shell.,Animalia,Chordata,,,Sinemydidae,Sinemys,Sinemys gamera,"Sinemys gamera Brinkman & Peng, 1993",Sinemys gamera,SPECIES,ACCEPTED,True,Brinkman & Peng,1993.0
Teratohyla amelie,Glass frog,"Amélie Poulain,Amélie",Amélie,,Films,"Originally described asCochranella amelieand subsequently transferred to genusTeratohyla.""The specific name [...] of this new species of Glassfrog is for Amelie, protagonist of the extraordinary movieLe Fabuleux Destin d'Amélie Poulain; a movie where little details play an important role in the achievement of joie de vivre; like the important role that Glassfrogs and all amphibians and reptiles play in the health of our planet.""",Animalia,Chordata,Amphibia,Anura,Centrolenidae,Teratohyla,Teratohyla amelie,"Teratohyla amelie (Cisneros-Heredia & Meza-Ramos, 2007)",Teratohyla amelie,SPECIES,ACCEPTED,False,Cisneros-Heredia & Meza-Ramos,2007.0
Tithaeus drac,Harvestman,"Dracs,Enemy Mine",Enemy Mine,,Films,"""Species name refers to the fictitious reptilian species called ""drac"" from the 1985 science fiction film ""Enemy mine"", produced byTwentieth Century Foxand directed byWolfgang Petersen. The shape of the drac's head is strongly reminiscent of the cheliceral bulla ofT. dracsp. nov..""",Animalia,Arthropoda,Arachnida,Opiliones,Tithaeidae,Tithaeus,Tithaeus drac,"Tithaeus drac Lian, Zhu & Kury, 2008",Tithaeus drac,SPECIES,ACCEPTED,False,"Lian, Zhu & Kury",2008.0
Gamerabaena,Turtle,Gamera,Gamera,,Films,"Name for the ""fire-breathing turtle from the 1965 movieGamera, in allusion to his fire breathing capabilities and theHell Creek Formation""",Animalia,Chordata,,,Baenidae,Gamerabaena,,"Gamerabaena Lyson & Joyce, 2010",Gamerabaena,GENUS,ACCEPTED,True,Lyson & Joyce,2010.0
Eoperipatus totoro,Velvet worm,"Totoro,My Neighbour Totoro",My Neighbour Totoro,,Films,"Named after Totoro, who ""uses a many-legged animal [Catbus] as a vehicle""",Animalia,Onychophora,,,Peripatidae,Eoperipatus,Eoperipatus totoro,"Eoperipatus totoro Oliveira, Schaffer, Kvartalnov, Galoyan, Palko, Weck-Heimann, Geissler, Ruhberg & Mayer, 2013",Eoperipatus totoro,SPECIES,ACCEPTED,False,"Oliveira, Schaffer, Kvartalnov, Galoyan, Palko, Weck-Heimann, Geissler, Ruhberg & Mayer",2013.0
Cystomastacoides kiddo,Wasp,"Beatrix Kiddo,Kill Bill",Kill Bill,,Films,"""Named after the character Beatrice Kiddo in theQuentin Tarantino'Kill Bill' films because of the deadly biology to the host.""",Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Cystomastacoides,Cystomastacoides kiddo,"Cystomastacoides kiddo Quicke & Butcher, 2013",Cystomastacoides kiddo,SPECIES,ACCEPTED,False,Quicke & Butcher,2013.0
Axima sidi,Wasp,"Sid,Ice Age",Ice Age,,Films,"""The name is based on facial resemblance between these two, which is mainly caused by shared bulbous eyes, and the characteristic anteroventral orientation of accompanying structures""",Animalia,Arthropoda,Insecta,Hymenoptera,Eurytomidae,Axima,Axima sidi,"Axima sidi Arias-Penna, Pape & Krogmann, 2014",Axima sidi,SPECIES,ACCEPTED,False,"Arias-Penna, Pape & Krogmann",2014.0
Prochyliza georgekaplani,Fly,"George Kaplan,North by Northwest",North by Northwest,,Films,"""The specific epithet [...] makes reference to George Kaplan, the nonexistent spy fromAlfred Hitchcock's 1959 filmNorth by Northwestfor whom the main character is mistaken. Like in that celebrated film,P. georgekaplanihad been misidentified as a ""nonexistent"" species (i.e. an unvalid [sic] name), at least in central Spain""",Animalia,Arthropoda,Insecta,Diptera,Piophilidae,Prochyliza,Prochyliza georgekaplani,"Prochyliza georgekaplani Martín-Vega, 2014",Prochyliza georgekaplani,SPECIES,ACCEPTED,False,Martín-Vega,2014.0
Nosferatu,Cichlidfish,Nosferatu(1922),Nosferatu,,Films,Named in honor ofCount OrlokfromNosferatufor the well-developed fangs possessed by the genus.,Animalia,Chordata,,Perciformes,Cichlidae,Nosferatu,,"Nosferatu De la Maza-Benignos, Ornelas-Garcia, Lozano-Vilanio, García-Ramírex et al., 2014",Nosferatu,GENUS,ACCEPTED,False,"De la Maza-Benignos, Ornelas-Garcia, Lozano-Vilanio, García-Ramírex et al.",2014.0
Zuul crurivastator,Ankylosauriddinosaur,"Zuul,Ghostbusters",Ghostbusters,,Films,,Animalia,Chordata,,,Ankylosauridae,Zuul,Zuul crurivastator,"Zuul crurivastator Arbour & Evans, 2017",Zuul crurivastator,SPECIES,ACCEPTED,True,Arbour & Evans,2017.0
Prolatcyclus kindzadza,Crustacean,Kin-dza-dza!,Kin-dza-dza!,,Films,"A fossilcycloidfrom theCarboniferousofOrenburg Oblast,Russia.",Animalia,Arthropoda,Maxillopoda,,Cyclidae,Prolatcyclus,Prolatcyclus kindzadza,"Prolatcyclus kindzadza Mychko, Feldmann, Schweitzer & Alekseev, 2019",Prolatcyclus kindzadza,SPECIES,ACCEPTED,True,"Mychko, Feldmann, Schweitzer & Alekseev",2019.0
Coptoborus brigman,Bark beetle,"Dr. Lindsey Brigman,The Abyss",The Abyss,,Films,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Coptoborus,Coptoborus brigman,"Coptoborus brigman Smith & Cognato, 2021",Coptoborus brigman,SPECIES,ACCEPTED,False,Smith & Cognato,2021.0
Coptoborus furiosa,Bark beetle,"Furiosa,Mad Max: Fury Road",Mad Max: Fury Road,,Films,"""The 'spiny' elytra give the species a fierce appearance.""",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Coptoborus,Coptoborus furiosa,"Coptoborus furiosa Smith & Cognato, 2021",Coptoborus furiosa,SPECIES,ACCEPTED,False,Smith & Cognato,2021.0
Coptoborus trinity,Bark beetle,"Trinity,The Matrix",The Matrix,,Films,"""Three types ofsetae(trifid, scale-like and bristle-like) help diagnose this species.""",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Coptoborus,Coptoborus trinity,"Coptoborus trinity Smith & Cognato, 2021",Coptoborus trinity,SPECIES,ACCEPTED,False,Smith & Cognato,2021.0
Coptoborus vrataski,Bark beetle,"Rita Vrataski,Edge of Tomorrow",Edge of Tomorrow,,Films,"""The granulate elytral gives the species an armored appearance reminiscent of the character's combat jacket.""",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Coptoborus,Coptoborus vrataski,"Coptoborus vrataski Smith & Cognato, 2021",Coptoborus vrataski,SPECIES,ACCEPTED,False,Smith & Cognato,2021.0
Trigonopterus gundala,Weevil,Gundala,Gundala,,Films,"This species is endemic toSulawesi,Indonesia. ""The black and ferruginous colors of this species resemble Gundala’s movie costume.""",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Trigonopterus,Trigonopterus gundala,"Trigonopterus gundala Narakusumo & Riedel, 2021",Trigonopterus gundala,SPECIES,ACCEPTED,False,Narakusumo & Riedel,2021.0
Anisotremus rambo,Fish,Rambo: First Blood Part II,Rambo: First Blood Part II,,Films,"A fossilgruntfrom theEoceneofTexas, USA, ""Named after the famous movie 'Rambo', which alludes to the unrestrained, wild, but valiant appearance of theotoliths.""",Animalia,Chordata,,Perciformes,Haemulidae,Anisotremus,Anisotremus rambo,"Anisotremus rambo Lin & Nolf, 2022",Anisotremus rambo,SPECIES,ACCEPTED,True,Lin & Nolf,2022.0
Proctoporus optimus,Lizard,"Optimus Prime,Transformersfilm series",Transformers,,Films,"""patronymic for Optimus Prime, leader of theAutobotsin the science fiction movieTransformers, in recognition of the seventh film that was filmed inMachu Picchu[the type locality]:Transformers: Rise of the Beasts.""",Animalia,Chordata,Squamata,,Gymnophthalmidae,Proctoporus,Proctoporus optimus,"Proctoporus optimus Mamani, Cruz, Mallqui & Catenazzi, 2022",Proctoporus optimus,SPECIES,ACCEPTED,False,"Mamani, Cruz, Mallqui & Catenazzi",2022.0
Paravima totoro,Harvestman,"Totoro,My Neighbour Totoro",My Neighbour Totoro,,Films,"""For us, the paramedian armature of the new species resembles the ears of the charismatic Totoro. We take advantage of exalting the excellent work ofStudio Ghibliwith this tribute.""",Animalia,Arthropoda,Arachnida,Opiliones,Agoristenidae,Paravima,Paravima totoro,"Paravima totoro García & Villarreal, 2023",Paravima totoro,SPECIES,ACCEPTED,False,García & Villarreal,2023.0
Yochelcionella daleki,Mollusc,Daleks,Doctor Who,,Television,A fossilHelcionellidfrom theCambrianof Australia.,Animalia,Mollusca,Gastropoda,,Yochelcionellidae,Yochelcionella,Yochelcionella daleki,"Yochelcionella daleki Runnegar & Jell, 1976",Yochelcionella daleki,SPECIES,ACCEPTED,True,Runnegar & Jell,1976.0
Mestoronema,Mollusc,"Mestor,The Twin Dilemma",Doctor Who,,Television,"Named after ""the ruler of the intelligent evil gastropods from the world's longest running science fiction serial,Doctor Who.""",Animalia,Mollusca,Gastropoda,,Lesueurillidae,Mestoronema,,"Mestoronema Wagner, 2002",Mestoronema,GENUS,ACCEPTED,True,Wagner,2002.0
Tetramorium dalek,Ant,Daleks,Doctor Who,,Television,"""During different stages of the revision we considered placing the material listed here asTetramorium dalekin at least three to four different groups, which caused a significant amount of nuisance, especially to the first author. Naming this species after an evil, extra-terrestrial, and often annoying race was a logical consequence.""",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,Tetramorium dalek,"Tetramorium dalek Hita Garcia & Fisher, 2014",Tetramorium dalek,SPECIES,ACCEPTED,False,Hita Garcia & Fisher,2014.0
Synchiropus sycorax,Dragonet fish,Sycorax,Doctor Who,,Television,"""The species is named after the red-robed and caped Sycorax warriors from the BBC sci-fi series Dr. Who, in showing similarities in both coloration and grandiloquence of their garb.""",Animalia,Chordata,,Perciformes,Callionymidae,Synchiropus,Synchiropus sycorax,"Synchiropus sycorax Tea & Gill, 2016",Synchiropus sycorax,SPECIES,ACCEPTED,False,Tea & Gill,2016.0
Cyclocardia dalek,Bivalve,Daleks,Doctor Who,,Television,"The Daleks are ""characterized by an armour with prominent circles, similar to the nodular external sculpture of this species"".",Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,Cyclocardia dalek,"Cyclocardia dalek D.E.Pérez & C.J.del Río, 2017",Cyclocardia dalek,SPECIES,ACCEPTED,False,D.E.Pérez & C.J.del Río,2017.0
Choeras zygon,Wasp,Zygons,Doctor Who,,Television,"""The shape-shifting nature of this fictional race mirrors the large morphological variability withinC. zygon[...] The Zygon inDoctor Whoalso consume their 'host', a trait particularly relevant to endoparasitoid wasps.""",Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Choeras,Choeras zygon,"Choeras zygon Fagan-Jeffries & Austin, 2019",Choeras zygon,SPECIES,ACCEPTED,False,Fagan-Jeffries & Austin,2019.0
Ophiotardis,Brittle star,TARDIS,Doctor Who,,Television,"""Genus name formed as a combination ofóphis, Greek for serpent, a commonly used prefix in ophiuroid genus names, andTardis, acronym for 'Time And Relative Dimension In Space'""",Animalia,Echinodermata,Ophiuroidea,,Ophiopyrgidae,Ophiotardis,,"Ophiotardis Thuy & Numberger-Thuy, 2021",Ophiotardis,GENUS,ACCEPTED,True,Thuy & Numberger-Thuy,2021.0
Conus tribblei,Sea snail,Tribbles,Star Trek,,Television,Named a pet cat that was named Tribbles after theStar Trekalien species,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus tribblei,"Conus tribblei Walls, 1977",Conus tribblei,SPECIES,ACCEPTED,False,Walls,1977.0
Agra dax,Ground beetle,Jadzia Dax,Star Trek,,Television,Also dedicated toTerry Farrell,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agra,Agra dax,"Agra dax Erwin, 2000",Agra dax,SPECIES,ACCEPTED,False,Erwin,2000.0
Annuntidiogenes worfi,Hermit crab,Worf,Star Trek,,Television,"Named ""in reference to the wrinkled ornament of the anterior gastric region""",Animalia,Arthropoda,Malacostraca,Decapoda,Annuntidiogenidae,Annuntidiogenes,Annuntidiogenes worfi,"Annuntidiogenes worfi Fraaije, Van Bakel, Jagt, Klompmaker & Artal, 2009",Annuntidiogenes worfi,SPECIES,ACCEPTED,True,"Fraaije, Van Bakel, Jagt, Klompmaker & Artal",2009.0
Paridris gorn,Wasp,Gorn,Star Trek,,Television,"""This species is named after a reptilian alien race from the original Star Trek television series for the similar appearance of their compound eyes. The epithet is treated as a noun in apposition.""",Animalia,Arthropoda,Insecta,Hymenoptera,Scelionidae,Paridris,Paridris gorn,"Paridris gorn Talamas & Masner, 2012",Paridris gorn,SPECIES,ACCEPTED,False,Talamas & Masner,2012.0
Ledella spocki,Mussel,Spock,Star Trek,,Television,"Named because the species' ""valves resembles the shape of the pointed ear of theVulcans""",Animalia,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Ledella,Ledella spocki,"Ledella spocki Viegas, Benaim & Absalão, 2014",Ledella spocki,SPECIES,ACCEPTED,False,"Viegas, Benaim & Absalão",2014.0
Bolianus,Beetle,Bolian,Star Trek,,Television,"""The peculiar median groove along the head prompted us to derive the generic name from the 'Bolians', a fictitious species from the universe of the science fiction series 'Star Trek', characterized by a vertical suture running along the midline of head and face.""",Animalia,Arthropoda,Insecta,Coleoptera,Silvanidae,Bolianus,,"Bolianus Karner, Salvato & Uliana, 2015",Bolianus,GENUS,ACCEPTED,False,"Karner, Salvato & Uliana",2015.0
Synopeas klingunculum,Wasp,Klingons,Star Trek,,Television,"""The epithet 'Synopeas klingunculum' means 'little Klingon' and refers to the rugose head sculpture, which resembles that of the fictional alien race from 'Star Trek'.""",Animalia,Arthropoda,Insecta,Hymenoptera,Platygastridae,Synopeas,Synopeas klingunculum,"Synopeas klingunculum Awad, 2021",Synopeas klingunculum,SPECIES,ACCEPTED,False,Awad,2021.0
Phanuromyia odo,Wasp,Odo,Star Trek,,Television,"Named after Odo ""because this species has variable morphology""",Animalia,Arthropoda,Insecta,Hymenoptera,Scelionidae,Phanuromyia,Phanuromyia odo,"Phanuromyia odo Nesheim, 2017",Phanuromyia odo,SPECIES,ACCEPTED,False,Nesheim,2017.0
Spockia,Stink bug,Spock,Star Trek,,Television,"""[Spock] is a Vulcan/Human hybrid, this new genus shares with the commander Spock the fact that as it shares characters from genusCaziraandBlachia.""",Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Spockia,,"Spockia Roca-Cusachs, Kim, Kim, Lee & Jung, 2019",Spockia,GENUS,ACCEPTED,False,"Roca-Cusachs, Kim, Kim, Lee & Jung",2019.0
Coptoborus hansen,Bark beetle,"Seven of Nine, born Annika Hansen",Star Trek,,Television,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Coptoborus,Coptoborus hansen,"Coptoborus hansen Smith & Cognato, 2021",Coptoborus hansen,SPECIES,ACCEPTED,False,Smith & Cognato,2021.0
Coptoborus janeway,Bark beetle,Kathryn Janeway,Star Trek,,Television,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Coptoborus,Coptoborus janeway,"Coptoborus janeway Smith & Cognato, 2021",Coptoborus janeway,SPECIES,ACCEPTED,False,Smith & Cognato,2021.0
Coptoborus uhura,Bark beetle,Nyota Uhura,Star Trek,,Television,"""This species is reddish and reminiscent of the uniform Uhura wore""",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Coptoborus,Coptoborus uhura,"Coptoborus uhura Smith & Cognato, 2021",Coptoborus uhura,SPECIES,ACCEPTED,False,Smith & Cognato,2021.0
Coptoborus yar,Bark beetle,Tasha Yar,Star Trek,,Television,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Coptoborus,Coptoborus yar,"Coptoborus yar Smith & Cognato, 2021",Coptoborus yar,SPECIES,ACCEPTED,False,Smith & Cognato,2021.0
Agroecotettix idic,Grasshopper,IDIC,Star Trek,,Television,"""This name pays homage to the Star Trek principle of embracing diversity and complexity and highlights the rich biodiversity found in Mexico, the native land of this grasshopper. It is hoped that this name encourages appreciation and protection of the diverse forms of life that coexist on our planet.""",Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Agroecotettix,,"Agroecotettix Bruner, 1908",Agroecotettix,SPECIES,ACCEPTED,False,Bruner,2024.0
Parabradya samsoni,Copepod,"Samson,Sesamstraße",Sesame StreetandThe Muppets,,Television,"""This species is named after the German character 'Samson' of the TV show 'Sesame Street' because of its big size and the unique ornamentation of body and setae.""",Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Parabradya,Parabradya samsoni,"Parabradya samsoni Seifried, Plum & Schulz, 2007",Parabradya samsoni,SPECIES,ACCEPTED,False,"Seifried, Plum & Schulz",2007.0
Stelis oscargrouchii,Orchid,Oscar the Grouch,Sesame StreetandThe Muppets,,Television,"""The name honors Oscar Grouch, of whom I am reminded by this extraordinary flower""",Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stelis,Stelis oscargrouchii,Stelis oscargrouchii Karremans,Stelis oscargrouchii,SPECIES,ACCEPTED,False,,2015.0
Hensonbatrachus kermiti,Frog,"Jim Henson,Kermit the Frog",Sesame StreetandThe Muppets,,Television,,Animalia,Chordata,Amphibia,,,Hensonbatrachus,Hensonbatrachus kermiti,"Hensonbatrachus kermiti Gardner & Brinkman, 2015",Hensonbatrachus kermiti,SPECIES,ACCEPTED,True,Gardner & Brinkman,2015.0
Ariadna gonzo,Tube-dwelling spider,Gonzo,Sesame StreetandThe Muppets,,Television,"""The specific epithet is in reference to the curved and hooked embolus of the pedipalp, which resembles the nose of the Muppet character Gonzo.""",Animalia,Arthropoda,Arachnida,Araneae,Segestriidae,Ariadna,Ariadna gonzo,"Ariadna gonzo Marsh, Stevens & Framenau, 2022",Ariadna gonzo,SPECIES,ACCEPTED,False,"Marsh, Stevens & Framenau",2022.0
Regalana bobbyi,True bug,"Bobby, the Barbarian",Dungeons & Dragons,,Television,"""The new species name alludes to Bobby, the barbarian, one of the protagonists of the TV seriesDungeons & Dragons.""",Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Regalana,Regalana bobbyi,"Regalana bobbyi Domahovski, Gonçalves & Cavichioli, 2014",Regalana bobbyi,SPECIES,ACCEPTED,False,"Domahovski, Gonçalves & Cavichioli",2014.0
Regalana dianae,True bug,"Diana, the acrobat",Dungeons & Dragons,,Television,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Regalana,Regalana dianae,"Regalana dianae Domahovski, Gonçalves & Cavichioli, 2014",Regalana dianae,SPECIES,ACCEPTED,False,"Domahovski, Gonçalves & Cavichioli",2014.0
Regalana ericki,True bug,"Eric, the cavalier",Dungeons & Dragons,,Television,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Regalana,Regalana ericki,"Regalana ericki Domahovski, Gonçalves & Cavichioli, 2014",Regalana ericki,SPECIES,ACCEPTED,False,"Domahovski, Gonçalves & Cavichioli",2014.0
Regalana hanki,True bug,"Hank, the ranger",Dungeons & Dragons,,Television,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Regalana,Regalana hanki,"Regalana hanki Domahovski, Gonçalves & Cavichioli, 2014",Regalana hanki,SPECIES,ACCEPTED,False,"Domahovski, Gonçalves & Cavichioli",2014.0
Regalana prestoi,True bug,"Presto, the magician",Dungeons & Dragons,,Television,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Regalana,Regalana prestoi,"Regalana prestoi Domahovski, Gonçalves & Cavichioli, 2014",Regalana prestoi,SPECIES,ACCEPTED,False,"Domahovski, Gonçalves & Cavichioli",2014.0
